result_id	domain	claim_or_output	sample_or_inputs	model_or_contrast	source	status	revision_action
behav-primary	behavior	Age x Offer x Partner Similarity on acceptance	47 participants; 4439 responded human-partner trials	accept ~ centered_offer * age_group * similarity + (1 + centered_offer | participant)	behavioral_analyses/data/all_trials_brains.csv; participant_L3_47.csv; submitted manuscript	established-submitted; intended-slope-refit-revision	Report converged intended random-intercept/random-offer-slope model with estimate, SE, z, p, CI, N, variance/covariance, and convergence diagnostics; retain random-intercept robustness
behav-sensitivity-submitted	behavior	Individual fairness sensitivity	47 participants	Similar offer slope minus dissimilar offer slope from separate logistic mixed models	behavioral_analyses/data/in_out_sensitivity_indiv_logit.csv	established-submitted	Reproduce to numerical tolerance and label as submitted operationalization
behav-sensitivity-unified	behavior	Offer x Similarity participant slope	47 participants; 4439 trials	Single logistic mixed model with uncorrelated random interaction slope	code/analyze_reviewer_behavior.R	revision-analysis; author-decision-pending	Compare estimand, scaling, shrinkage, distribution, age association, and correlation with submitted score; do not construct an ECN L3 model without a later scientific decision
behav-misses	behavior	Missed trials by age and partner	47 participants; 6768 trials	Descriptive participant totals plus Welch test by age	source_data/bids; code/audit_task_events.py	revision-analysis	Recover missed partner from block; report denominator and uncertainty
behav-rt	behavior	Response-selection latency and RT nuisance-event construction	47 participants; 6655 responded task trials; responded human-partner subset for behavioral model	response_time ~ age_group * similarity + (1 + similarity | participant); source-event versus companion event_RT audit	source_data/bids; cleaned behavioral table; task source; results/reviewer/tables/rt_event_construction_summary.tsv; results/reviewer/tables/l3_template_sub143_inputs.tsv	revision-analysis; production-L1-RT-stop-condition	Clarify the one-second response-choice delay; audit authoritative production L1 designs/EVs and locate the rendered submitted L3 design before any rerun
behav-acceptance-curves	behavior	Model-implied acceptance across offer and similarity	47 participants	Predictions from primary intended random-intercept/random-offer-slope logistic mixed model	code/analyze_reviewer_behavior.R	revision-figure	Export source data and figure
behav-ratings	behavior	Partner ratings pre/post	Available rating logs in 47-participant sample	Descriptive and paired human-partner comparisons	source_data/partner_ratings	revision-analysis	Report completeness; do not equate ratings with belief-manipulation success
img-dmn-age	imaging	Younger > older similar-minus-dissimilar offer-modulated DMN connectivity	47 participant L2 cope7 maps	FLAME 1+2; young, old, sex, tSNR, FD, RT	masks_SANS/dmn_p_in-out_y-o.nii.gz; imaging_plots_SANS; L3 template	established-submitted; provenance-partly-unresolved	Recover exact production design, threshold command, search mask, GRF quantities, cluster statistics, and minimum significant extent; separately evaluate robust FLAME deweighting for author consideration
img-ecn-sensitivity	imaging	Age difference in sensitivity association with similar-minus-dissimilar ECN connectivity	47 participant L2 cope7 maps	FLAME 1+2 with sex, tSNR, FD, RT and group-specific sensitivity EVs	masks_SANS/ecn_p_in-out_o-y_sens-logit.nii.gz; imaging_plots_SANS; L3 sensitivity template	established-submitted; provenance-partly-unresolved	Recover exact production design, parameterization, search mask, GRF quantities, and cluster statistics; do not drop tSNR or substitute the unified slope automatically
img-activation	imaging	Age/sensitivity activation contrast	47 participant L2 cope7 maps	FLAME 1+2 with nuisance covariates and behavioral covariate	masks_SANS/act_p_in-out_o-y_norm-logit.nii.gz	established-secondary	Trace exact production result and align manuscript framing
img-main-effects	imaging	Task and connectivity main effects	47 participants	Existing first-level contrasts and group means	model-02 activation and nPPI templates	reviewer-requested	Inventory existing production outputs and classify as existing, descriptive, genuinely new, or not recommended; do not execute a new model yet
img-simple-effects	imaging	Within-age effects for focal contrasts	47 participants	Existing group design or new explicit contrasts after design audit	L3 templates and production design files	reviewer-requested	Recover existing contrasts first; prepare but do not execute a genuinely missing L3 contrast only if scientifically necessary
img-computer	imaging	Social-partner versus computer effects	47 participants	Activation contrasts 8 and 10; connectivity equivalent requires audit	L1 model-02 templates	reviewer-requested	Recover existing maps/tables and describe computer condition limitations
img-influence	imaging	Participant influence on focal results	47 participants	Descriptive selected-ROI diagnostic; possible complete-sample robust FLAME deweighting	imaging_plots_SANS; code audit	revision-analysis; author-decision-pending	Do not exclude participants or run image-level leave-one-out; document production-version robust deweighting behavior and await author approval
